CASTNO,HM_WT,AIM_S,HM_S,HM_C,HM_SI,HM_TI,HM_MN,CAC2,MG,HM_TEMP,CAC2_INJ_TIME,MG_INJ_TIME,DS_S
V97647,161,0.005,0.029,4.65,0.799,0.09,0.051,342,51,1369,9,5,0.003
V97646,173,0.005,0.031,4.64,0.994,0.1,0.045,294,42,1404,7,3,0.004
V97645,163,0.005,0.038,4.66,0.817,0.089,0.043,339,48,1432,9,4,0.004
V97644,163,0.005,0.039,4.63,0.824,0.085,0.049,336,49,1420,8,5,0.006
V97643,161,0.005,0.039,4.65,0.639,0.074,0.05,339,49,1369,8,4,0.004
V97642,164,0.005,0.042,4.6,0.897,0.091,0.049,358,51,1351,9,5,0.008
V97641,166,0.005,0.03,4.64,0.907,0.091,0.046,296,43,1385,7,4,0.006
V97640,162,0.005,0.035,4.62,0.842,0.087,0.045,320,45,1357,8,4,0.006
V97639,166,0.005,0.038,4.59,0.749,0.075,0.047,336,47,,9,4,0.007
V97638,167,0.005,0.043,4.61,0.79,0.074,0.049,359,50,1421,9,5,0.008
V97635,161,0.005,0.042,4.54,0.815,0.072,0.045,359,50,1429,9,5,0.007
V97636,162,0.005,0.031,4.62,0.878,0.095,0.047,322,51,1401,8,4,0.003
V97634,165,0.005,0.042,4.42,0.685,0.064,0.044,354,50,1373,9,4,0.009
V97632,176,0.005,0.044,4.55,0.598,0.07,0.044,374,58,1381,10,5,0.005
V97631,163,0.005,0.042,4.53,0.655,0.072,0.046,354,50,1464,9,4,0.005
V97630,165,0.005,0.05,4.55,0.668,0.07,0.046,370,66,1405,12,6,0.005
V97629,160,0.005,0.053,4.42,0.597,0.063,0.045,406,57,1401,10,5,0.006
V97628,166,0.005,0.054,4.42,0.576,0.055,0.041,395,67,1392,13,9,0.011
V97627,167,0.005,0.074,4.32,0.484,0.045,0.039,505,94,1383,13,9,0.008
V97626,164,0.005,0.063,4.42,0.539,0.055,0.039,427,77,1365,15,9,0.008
V97625,168,0.005,0.065,4.39,0.693,0.055,0.039,476,79,1359,12,7,0.009
V97623,169,0.005,0.055,4.45,0.75,0.048,0.039,392,61,1375,10,5,0.014
V97622,167,0.005,0.056,4.48,0.696,0.062,0.041,395,56,1373,12,5,0.01
V97621,170,0.005,0.05,4.54,0.755,0.072,0.043,370,62,,9,5,0.008
V97619,165,0.005,0.078,4.4,0.775,0.058,0.037,524,86,,13,8,0.009
V97615,166,0.005,0.051,4.51,0.808,0.071,0.041,435,61,1327,12,7,0.007
V97614,165,0.005,0.051,4.38,1.223,0.095,0.044,399,56,1340,10,5,0.014
V97613,167,0.005,0.041,4.52,1.4,0.103,0.047,354,49,1386,10,6,0.005
V97612,166,0.005,0.042,4.56,1.42,0.112,0.045,354,51,1386,9,4,0.003
V97611,161,0.005,0.088,4.25,0.542,0.05,0.038,610,85,1322,16,10,0.004
V97609,166,0.005,0.032,4.53,0.629,0.072,0.045,310,45,,8,5,0.005
V97608,171,0.005,0.035,4.52,0.575,0.068,0.045,323,45,1368,8,4,0.006
V97607,158,0.005,0.055,4.55,0.767,0.075,0.04,424,61,1350,12,6,0.005
V97605,165,0.008,0.045,4.54,0.812,0.074,0.041,352,49,1323,8,5,0.015
V97604,150,0.008,0.057,4.46,0.711,0.075,0.04,406,57,1380,10,5,0.009
V97603,165,0.008,0.086,4.36,0.56,0.052,0.036,516,78,1365,14,7,0.015
V97602,151,0.008,0.064,4.47,0.67,0.066,0.04,426,60,1353,11,5,0.011
V97599,172,0.008,0.063,4.58,0.44,0.054,0.041,421,61,1354,12,5,0.017
V97597,167,0.008,0.057,4.55,0.507,0.053,0.04,453,61,1380,11,6,0.015
V97596,177,0.008,0.087,4.54,0.503,0.04,0.036,516,72,1393,13,6,0.014
V97595,164,0.008,0.04,4.56,0.559,0.063,0.045,399,57,1384,11,5,0.006
V97594,167,0.008,0.055,4.54,0.519,0.055,0.039,370,53,1347,9,5,0.013
V97593,166,0.008,0.055,4.55,0.534,0.055,0.041,401,59,1358,11,6,0.014
V97592,176,0.008,0.027,4.56,0.6,0.075,0.049,349,53,1397,10,5,0.004
V97591,165,0.008,0.049,4.56,0.56,0.065,0.045,376,54,1379,9,5,0.01
V97589,166,0.008,0.047,4.54,0.543,0.068,0.043,373,54,1340,10,5,0.008
